story_id,authenticity_score,emotion_provoking_score,empathy_score,engagement_score,narrative_complexity_score,human_likeness_score
0,4.0,3.0,4.0,4.0,3.0,4.0
1,4.0,3.0,3.0,4.0,3.0,4.0
2,4.0,3.0,3.0,3.0,2.0,4.0
3,4.5,4.5,4.5,4.5,4.5,4.5
4,4.5,4.0,4.5,4.0,4.5,5.0
5,4.0,3.0,4.0,4.0,4.0,4.0
6,4.0,3.0,3.0,4.0,3.0,4.0
7,4.0,4.0,4.0,5.0,3.0,4.0
8,4.0,3.0,4.0,4.0,3.0,5.0
9,4.5,4.0,4.0,4.0,3.5,4.5
10,4.0,3.0,4.0,4.0,5.0,4.0
11,4.0,3.0,3.0,4.0,4.0,2.0
12,2.0,3.0,3.0,3.0,2.0,2.0
13,3.5,3.5,4.0,3.5,4.0,4.5
14,2.0,3.0,2.0,3.0,2.0,1.0
15,4.5,4.5,4.5,4.5,4.5,4.5
16,4.0,5.0,4.0,4.0,5.0,2.0
17,4.0,3.0,4.0,4.0,4.0,3.0
18,3.0,4.0,4.0,4.0,4.0,3.0
19,4.0,3.0,3.0,3.0,3.0,4.0
20,4.5,4.5,4.5,4.5,4.5,4.5
21,2.0,3.0,3.0,3.0,2.0,2.0
22,4.0,5.0,4.0,5.0,3.0,5.0
23,2.0,3.0,4.0,4.0,2.0,3.0
24,4.0,3.0,3.0,4.0,2.0,5.0
25,4.0,3.0,4.0,4.0,3.0,5.0
26,4.0,3.0,3.0,4.0,2.0,4.0
27,4.0,3.0,3.0,4.0,2.0,3.0
28,4.0,3.0,3.0,4.0,2.0,5.0
29,4.0,3.0,4.0,4.0,2.0,3.0
30,3.0,3.0,2.0,3.0,2.0,2.0
31,4.0,3.0,3.0,4.0,4.0,3.0
32,4.0,2.0,3.0,1.0,2.0,1.0
33,3.0,2.0,2.0,3.0,4.0,2.0
34,2.0,3.0,2.0,3.0,3.0,2.0
35,3.5,3.5,3.0,4.0,3.0,2.5
36,2.5,3.0,2.5,3.5,4.0,2.0
37,3.0,2.5,2.5,3.0,4.0,2.0
38,3.0,3.0,2.0,4.0,3.0,2.0
39,4.0,2.0,3.0,3.0,4.0,2.0
40,4.0,3.0,3.0,4.0,3.0,5.0
41,4.0,2.0,3.0,4.0,2.0,1.0
42,4.0,3.0,3.0,4.0,3.0,4.0
43,4.0,3.0,3.0,4.0,2.0,4.0
44,3.5,3.0,3.0,4.0,2.5,4.0
45,3.0,3.0,3.0,4.0,2.0,2.0
46,2.0,3.0,2.0,3.0,2.0,1.0
47,2.0,3.0,2.0,3.0,2.0,2.0
48,3.5,3.0,2.5,4.0,2.5,3.0
49,4.0,3.0,3.0,4.0,2.0,4.0
50,4.5,4.0,4.0,4.0,4.0,5.0
51,4.0,3.0,4.0,4.0,3.0,5.0
52,4.0,3.0,4.0,4.0,4.0,3.0
53,4.0,3.0,4.0,3.0,4.0,2.0
54,4.0,3.0,4.0,4.0,3.0,5.0
55,4.5,4.0,4.0,4.0,4.0,4.0
56,4.0,3.0,3.0,4.0,3.0,4.0
57,4.0,3.0,4.0,4.0,4.0,5.0
58,4.0,3.0,4.0,4.0,3.0,3.0
59,4.0,3.0,4.0,3.0,4.0,5.0
60,4.0,3.0,3.0,4.0,3.0,4.0
61,4.5,4.0,4.0,4.5,4.0,5.0
62,5.0,4.0,4.0,5.0,3.0,5.0
63,4.0,3.0,3.0,4.0,3.0,4.0
64,4.5,4.0,4.0,4.0,3.5,5.0
65,4.0,4.0,4.0,4.0,3.0,4.0
66,4.5,4.0,4.0,4.0,3.0,5.0
67,4.5,5.0,4.5,5.0,4.0,5.0
68,4.0,4.0,4.0,4.0,3.0,4.0
69,4.0,4.0,4.0,4.0,3.0,4.0
70,4.0,3.0,3.0,4.0,3.0,2.0
71,4.0,3.0,4.0,4.0,3.0,4.0
72,4.0,2.0,3.0,4.0,4.0,2.0
73,4.0,2.0,3.0,4.0,2.0,4.0
74,4.5,3.5,4.0,3.5,4.0,4.0
75,2.0,2.0,3.0,3.0,4.0,2.0
76,3.5,3.0,4.0,3.5,3.5,2.0
77,4.0,2.0,3.0,4.0,3.0,2.0
78,2.5,2.0,2.5,3.0,3.0,2.0
79,4.0,3.0,4.0,4.0,4.0,5.0
80,4.0,3.0,3.0,4.0,3.0,4.0
81,4.0,3.0,3.0,3.0,2.0,4.0
82,4.0,3.0,3.0,3.0,3.0,4.0
