story_id,authenticity_score,emotion_provoking_score,empathy_score,engagement_score,narrative_complexity_score,human_likeness_score
0,4.5,4.5,4.2,4.6,4.6,4.2
1,4.4,4.1,4.7,4.4,4.4,3.7
2,4.0,3.0,4.0,4.0,4.2,4.0
3,3.2,3.4,2.2,4.4,4.8,1.8
4,4.0,4.0,3.2,4.4,3.4,4.2
5,4.5,4.1,4.5,4.8,4.9,4.4
6,5.0,5.0,5.0,5.0,4.2,5.0
7,4.1,2.3,3.4,3.3,2.6,4.1
8,4.3,3.8,4.3,4.5,4.5,4.7
9,5.0,5.0,5.0,5.0,4.2,5.0
10,4.0,4.0,4.0,4.8,4.8,4.6
11,4.5,4.5,4.6,4.9,4.5,4.9
12,4.5,4.6,4.1,4.8,4.4,4.6
13,4.6,4.0,4.4,4.4,3.8,5.0
14,4.5,4.5,4.5,4.8,4.8,4.9
