story_id,authenticity_score,emotion_provoking_score,empathy_score,engagement_score,narrative_complexity_score,human_likeness_score
0,4.0,3.0,3.0,4.0,3.0,4.0
1,4.0,3.0,3.0,4.0,3.0,4.0
2,4.0,4.0,3.0,4.0,3.0,4.0
3,4.0,3.0,3.0,4.0,3.0,5.0
4,4.5,4.5,4.5,4.5,4.0,4.5
5,4.5,4.0,4.0,4.0,4.0,5.0
6,4.0,3.0,3.0,4.0,3.0,4.0
7,4.5,4.0,4.5,4.5,4.0,4.5
8,4.5,4.5,4.5,4.5,4.5,4.5
9,4.0,3.0,4.0,4.0,4.0,5.0
10,4.0,3.0,3.0,4.0,4.0,4.0
11,4.0,3.0,4.0,4.0,3.0,2.0
12,4.0,2.0,3.0,2.0,2.0,1.0
13,4.0,4.0,4.0,4.0,4.0,3.0
14,4.0,3.0,4.0,3.0,4.0,3.0
15,4.0,4.0,4.0,4.0,4.0,3.0
16,4.0,3.0,3.0,3.0,3.0,4.0
17,4.0,3.0,4.0,3.0,4.0,4.0
18,4.5,4.0,4.0,4.0,4.0,4.0
19,4.0,2.0,3.0,1.0,2.0,1.0
20,4.0,3.0,4.0,4.0,3.0,5.0
21,3.5,4.5,4.0,4.0,3.0,3.0
22,4.0,3.0,3.0,4.0,3.0,4.0
23,4.0,3.0,3.0,4.0,3.0,5.0
24,2.0,2.0,2.0,2.0,1.0,1.0
25,4.0,3.0,3.0,3.0,2.0,3.0
26,4.0,3.0,3.0,4.0,2.0,5.0
27,4.0,3.0,3.0,4.0,2.0,5.0
28,4.0,3.0,3.0,4.0,2.0,2.0
29,4.0,4.0,4.0,4.0,3.0,4.0
30,2.0,2.0,2.0,3.0,3.0,2.0
31,2.0,3.0,2.0,2.0,4.0,4.0
32,3.5,3.0,2.5,4.0,4.5,3.0
33,4.0,2.0,3.0,1.0,2.0,1.0
34,2.0,3.0,2.0,3.0,4.0,1.0
35,4.0,3.0,2.0,3.0,4.0,2.0
36,2.0,2.0,2.0,3.0,4.0,2.0
37,2.0,2.0,2.0,3.0,4.0,2.0
38,4.0,2.0,3.0,3.0,5.0,1.0
39,4.0,3.0,2.0,4.0,5.0,1.0
40,4.0,3.0,3.0,4.0,3.0,4.0
41,4.0,3.0,3.0,3.0,2.0,3.0
42,3.5,4.0,3.0,4.5,3.0,3.5
43,4.0,4.0,4.0,3.5,3.0,3.5
44,3.5,3.0,3.0,4.0,2.5,3.5
45,4.0,3.0,3.0,4.0,2.0,3.0
46,4.0,3.0,3.0,4.0,3.0,4.0
47,4.0,3.0,3.0,5.0,3.0,5.0
48,4.0,3.0,3.0,4.0,2.0,2.0
49,4.0,3.0,3.0,4.0,2.0,4.0
50,4.5,4.5,4.5,4.5,4.5,4.5
51,4.0,3.0,3.0,4.0,3.0,4.0
52,4.5,3.5,4.5,3.5,4.5,3.5
53,4.5,4.0,4.5,4.5,4.5,4.5
54,4.0,3.0,3.0,4.0,3.0,2.0
55,4.5,4.5,4.5,4.5,4.5,4.5
56,4.5,4.0,4.5,4.5,4.0,5.0
57,4.0,3.0,3.0,4.0,3.0,5.0
58,3.0,2.0,3.0,3.0,3.0,2.0
59,4.0,3.0,4.0,3.0,3.0,5.0
60,4.5,4.0,4.5,4.0,3.5,5.0
61,4.0,3.0,3.0,4.0,2.0,4.0
62,5.0,5.0,5.0,5.0,3.0,5.0
63,5.0,4.0,4.0,5.0,3.0,5.0
64,4.0,3.0,3.0,4.0,3.0,4.0
65,4.5,4.0,4.0,4.5,3.5,5.0
66,4.0,5.0,4.0,4.0,3.0,4.0
67,4.0,4.0,4.0,5.0,3.0,5.0
68,4.0,3.0,4.0,3.0,2.0,4.0
69,4.5,5.0,4.0,5.0,3.0,5.0
70,4.0,3.0,3.0,4.0,4.0,2.0
71,4.0,3.0,4.0,4.0,2.0,4.0
72,4.5,4.5,4.5,4.5,4.5,4.5
73,4.0,3.0,4.0,4.0,3.0,5.0
74,4.0,2.0,3.0,3.0,2.0,2.0
75,4.0,2.0,3.0,2.0,2.0,4.0
76,4.0,2.0,3.0,4.0,4.0,4.0
77,4.0,2.0,3.0,4.0,3.0,4.0
78,3.5,3.5,4.0,4.0,3.0,4.0
79,4.5,3.5,4.0,4.0,3.0,4.5
80,3.5,3.0,3.0,3.0,2.5,3.0
81,4.0,2.0,3.0,3.0,3.0,4.0
82,2.0,2.0,3.0,3.0,2.0,2.0
83,4.0,3.0,3.0,3.0,2.0,3.0
84,3.0,2.0,2.0,2.0,2.0,2.0
85,3.5,4.0,4.0,4.0,3.5,4.0
86,4.0,3.0,3.0,3.0,2.0,2.0
87,1.0,1.0,1.0,1.0,1.0,1.0
88,4.0,2.0,3.0,2.0,1.0,1.0
89,2.0,2.0,2.0,2.0,1.0,1.0
90,4.0,3.0,4.0,4.0,3.0,5.0
91,4.0,3.0,3.0,4.0,2.0,4.0
92,4.0,3.0,3.0,4.0,2.0,5.0
93,4.0,3.0,3.0,4.0,2.0,4.0
94,4.0,3.0,3.0,3.0,2.0,4.0
95,4.0,3.0,4.0,4.0,4.0,5.0
96,4.0,3.0,3.0,3.0,2.0,4.0
97,4.0,3.0,4.0,4.0,3.0,5.0
98,4.0,3.0,4.0,4.0,3.0,5.0
99,4.5,4.0,4.0,4.0,3.0,5.0
100,3.5,3.0,3.0,3.5,2.5,2.0
101,4.0,2.0,3.0,1.0,2.0,1.0
102,4.0,4.0,4.0,4.0,4.0,4.0
103,3.0,3.0,2.0,3.0,3.0,2.0
104,3.5,3.0,3.0,3.5,3.0,2.5
105,4.5,4.0,4.0,4.0,3.0,5.0
106,4.0,3.0,3.0,4.0,4.0,4.0
107,4.0,3.0,3.0,4.0,3.0,2.0
108,4.5,4.0,4.0,4.0,4.0,4.0
109,4.2,4.0,4.5,4.8,4.3,4.7
110,4.5,4.0,4.5,4.0,3.5,4.5
111,4.0,4.0,4.0,4.0,3.0,3.0
112,4.0,4.0,3.0,4.0,3.0,4.0
113,4.0,2.0,3.0,1.0,2.0,1.0
114,4.0,3.0,3.0,4.0,3.0,4.0
115,4.0,3.0,4.0,4.0,2.0,3.0
116,4.0,3.0,3.0,3.0,2.0,3.0
117,4.0,4.0,4.0,4.0,3.0,4.0
118,4.0,5.0,4.0,4.0,3.0,2.0
119,4.0,3.0,3.0,4.0,3.0,5.0
120,4.0,3.0,3.0,4.0,3.0,2.0
121,4.0,3.0,3.0,4.0,2.0,4.0
122,3.5,4.0,3.5,4.0,2.5,4.5
123,4.0,3.0,3.0,4.0,2.0,3.0
124,4.0,3.0,3.0,4.0,4.0,5.0
125,4.0,3.0,3.0,4.0,3.0,4.0
126,2.0,3.0,2.0,3.0,2.0,1.0
127,4.0,4.0,3.0,4.0,3.0,4.0
128,4.2,4.5,4.0,4.3,4.1,4.8
129,3.0,3.0,3.0,4.0,2.0,3.0
130,4.0,3.0,3.0,4.0,2.0,4.0
131,4.0,3.0,3.0,4.0,2.0,4.0
132,4.0,3.0,3.0,3.0,2.0,3.0
133,4.0,3.0,4.0,4.0,3.0,4.0
134,4.0,3.5,3.0,3.5,3.0,4.0
135,4.0,3.0,4.0,3.0,2.0,5.0
136,4.0,3.0,3.0,4.0,2.0,4.0
137,4.0,3.0,3.0,4.0,2.0,5.0
138,4.0,3.0,4.0,4.0,3.0,4.0
139,4.0,3.0,3.0,4.0,2.0,3.0
140,4.0,4.0,4.0,4.0,3.0,4.0
141,4.2,4.0,4.5,4.3,3.8,4.6
