story_id,premise_id,premise,text,author_type,model_short,net_upvotes,strategy,characters,study_id,participant_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score
47,8,"You are allowed to 'downvote' a government candidate instead of voting normally, reducing their votes by one. Turns out people have little love for politicians, and the majority end with negative votes. In these democracies, anonymity is the key to winning.","You find yourself standing outside the polling station, staring at the list of candidates running for office. They all seem so similar, each with their own empty promises and self-serving rhetoric. You wonder if any of them truly care about the people they're supposed to represent. As you ponder this, you notice a small, inconspicuous button on the door of the polling station. It's labeled 'Downvote'.

At first, you think it's some kind of prank or joke, but as you look around, you realize no one else seems to be paying attention to it. Curiosity gets the better of you, and you decide to investigate further. Pressing the button leads to a secret room hidden within the station, where you discover a computer system with the profiles of all the candidates. Each one has a number assigned to it, and when you enter a number, a counter beside it starts counting down. The more people who downvote a candidate, the faster the counter drops.

You realize that this is the only way to truly hold politicians accountable, by using their own system against them. You spend the day downvoting every candidate, watching their counters drop dramatically. As more and more people join in, you notice something strange - the ones with the lowest counters start to disappear.
It turns out that the more people who downvote a candidate, the less likely they are to win the election. The system seems to favor those who are most hated, and soon enough, only the most despised candidates remain. And as the day goes on, the line of people waiting to downvote grows longer and longer.

In the end, you're left wondering if this is the best way to choose leaders, or if it's just a twisted game designed to pit people against each other. The thought sends a shiver down your spine, but you know you won't stop fighting for what's right. Because sometimes, the only way to make a change is to go against the system entirely.",LLM,Llama-2-7B,,writer_profile,,47,3,4,2,3,2,3,3
41,14,"Your wife has an estranged sister that you have never met. She was murdered in a cold case soon after you were married. You brush off your wifes new strange behaviour after the murder as grief. Until you find an old family photo of your wife as a kid, you shiver as you realise theyre twins.","John wasn't prepared for the storm that whirlwinded into his life when Lila was murdered. It was just three months after their wedding. To his surprise, he discovered his wife had an estranged sibling - Lila, a sister he'd never met. The bleak news of her murder came like a cold gust of wind, shaking the foundations of their newly built life together. 

His wife, Lisa, a web of enigmatic charm and layered secrets, had been acting strangely since the incident. Her eyes were steeped in an inexplicable restlessness. Her laughter, once a bubbling brook of joy, had turned into an occasional ripple that looked more forced than genuine. She'd steal away to the attic frequently, probably seeking solace in the loneliness, marooned in the vivid gallery of their family's taped past.

One day, attempting to understand her unusual behaviour, John found himself rummaging through the attic. Amid dust-covered trinkets and withered books, he found an old family photo tucked away in a corner. He carefully unfolded it, curiosity and apprehension making his hands tremble. It was a picture of Lisa and Lila, young, rosy-cheeked, their infectious laughter caught in a frame forever. Two identical smiles, two identical pairs of vibrant hazel eyes, the same cascade of chocolate brown hair. 

They weren't just sisters; they were twins. The realisation hit him like a thunderbolt, delivering a shiver that cut through his warm skin down to the bone.

The uncanny resemblance was unsettling. Memories of his wife began to flicker where Lila had been, her visage so firmly etched in Lisas behavior that he couldnt tell where his wife ended, and her sister began. He felt a pang of profound sadness for his wife  her twins death was not just a loss, it was a brutal severance of a part of her very own being.

Feeling the sharp sting of betrayal, he was angered at Lisa for withholding this prominent part of her life. But as he looked at the photo, those identical smiling faces helped his resentment subside. He realized the grief that clung to her was not just for an estranged sister, but for a 'twin', a mirror of herself.

John descended from the attic, the old photo pressed firmly in his hand. His perception of his wife's behaviour had pivoted entirely. Her sorrowful eyes were no longer a mystery to him; her solitude was not strange anymore. 

As he entered their shared bedroom, he saw Lisa soaked in the moonlight that filtered through the windows. Her tear streaked face, often mistaken for a manifestation of melancholy, was now a testament to her courage. 

With newfound understanding, John held Lisa tighter than ever before  an embrace that screamed apology, acceptance and the promise of shouldering her grief together. For he now realised that every tear she spilled, every moment of silence, every pang of loss was an echo of a severed connection, a mirror shattered, a twin lost into oblivion. 

John mixed up a recipe of hope and resilience, as they embarked on a beautiful and healing journey of navigating through the sea of emotions, grief and recovery together. After all, he loved two women now: his wife Lisa, and the ghostly memory of her twin forever etched in her sorrowful eyes - Lila.",LLM,GPT-4,,writer_profile,,41,4,4,5,4,3,4,5
42,6,"The world ended 20 years ago, you haven't found a living soul since then. Through some ingenuity, you call voicemails for the last 20 years to keep you company. 'Hi, this is Cindy...' 'Hi you reached Bob' 'You know what to do at the beep' until one day 'Hello...hello? Oh my God hello!'","For twenty years, I've walked through forgotten cities, touching remnants of a once thriving civilization, their metaphysical essence echoing through empty halls and deserted streets. I've clung onto sanity, tethering myself to an obscure method; I dial numbers. Just to hear the sound of a human voice, even in a pre-recorded form. Some might say it is a madman's comfort, and not without reason.

Each day is mundane but consistent. I wake, I survive, I dial. 'Hi, this is Cindy.... Cindy, a cheerful ghost of pre-Apocalypse, her persona reduced to a frivolous voicemail. We've never met, but she's the closest companion I've got. It's strange how a person who lived a random life before the end of the world could unknowingly become a balm for the last man on earth.

But today, my routine shattered. I dialed a number. Waited to hear the prerecorded voice, when suddenly, 'Hello...hello? Oh my God, hello!' 

My heart leaped, then plummeted. I hadn't heard an actual human voice in two decades. The sudden diversion was too much; it simultaneously filled me with elation and dread. I clung onto the receiver, my hand icy cold.

""Hello,"" I responded unsurely, acutely aware of the roughness of my underused voice. My mind, whirling with the dread and anticipation this new connection triggered, left me simply managing, ""It's been so long.""

There was a pause, as though the voice on the other end was absorbing my words. Their response was soft, soaked with a similar amalgam of relief and fear, ""I know, but we're here now. We are not alone.""

They were right. We were survivors. Among ruins and memories, we had endured. Our existence, marked by an unfathomable loneliness, chronic mourning for a world that no longer existed, had been broken by this simple, life altering interaction. 

Cindy fell into the background that day. A voice from reality took her place. Now I had more than just an archived collection of human lives. I had an actual human, alive and breathing, who understood the isolation, the survival, the agony of losing everything.

Both of us, once clinging onto ghosts of a pre-existing world, were now unified in a world of ruin. 

It was compelling and heartbreaking, the dread of clinging to a shred of hope that had intruded on my merciless solitude. But I realised then, how desperate I had been, to hear another living soul, to connect to something real.

The call ended. Once again, I was alone with the silence. But this time, the silence was less oppressive. The memory of another human's voice remained, echoing in the rawness of my mind.

And for the first time in twenty years, I wasn't just surviving. I was living. In that moment, I was hopeful of the uncertainty, willing to accept the dread and anticipation of this new era. An era where I wasn't the last man on Earth.",LLM,GPT-4,,plan_write,,42,4,5,4,4,3,4,5
59,1,A psychic alien who feeds on dreams comes to Earth for the first time. Turns out humans are the only sentients in the galaxy that have nightmares.,"Under the cloak of a midnight sky, Nebula Vrax floated in her incandescent form above the Earth, streaks of violet like silk sliced through the vast black tundra. Her arrival was silent, her hunger loud. She echoed a melancholic pallor, a misfit in her own species brought out of sheer desperation.

In an apartment nestled within a labyrinth of city buildings, Elijah tossed and turned, shrouded in the dark veils of sleep. The horrors of a murky past danced upon his eyelids as nightmares consumed him repeatedly. His brains spun enigmatic codes during the day, and his unconscious mind spun the threads of terrifying stories at night. The tranquility of sleep was an alien sensation to him. However, something shifted that night as he slipped into uncharted serenity, the nightmares oddly dissipated.

Transparent and silent, Nebula stood by his bed, gently feeding on his dreams. The sheer rawness of human fear sent shivers pulsating through her. The nightmares were unexpectedly addictive, an uncanny ecstasy that filled her with dreadful energy and intense guilt. She wrestled with the unsettling contrast between her survival and the pain she absorbed from Elijah's complex human mind. She cared a little too much, her alien veins pumping both worry and worry's feed.

Concurrently, in the quiet corner of her office, Dr. Madeline Watson sat intrigued, nested amidst mountains of papers and highlighted dream journals. Elijah's sudden shift from chronic nightmares to peaceful slumbers perplexed her. She tucked stray strands of hair behind her ear, adjusting her glasses as she dived deeper into the bizarre phenomenon.

Madelines world revolved around dreams, studying them, decoding them, and lately, longing for them. Tucked away in her mind was her well-kept secret and deepest sorrow, an empty canvas of her dreamscape. The arrival of Nebula, although unknown then, pierced a ray of hope into her silent craving.

Weeks rolled forward, carrying with them a peculiar friendship entwining Nebula and Elijah, heunaware of her form and true essence. The continual depletion of his nightmares and an unexpected feeling of peace acted as an inadvertent invitation to Nebula into his life. Her invisible presence was like a lighthouse to his ship threatened by the stormy nightmares.

As puzzling numbers rose in dreamless insomniacs, Madeline diligently treaded on the path of revelation. The breadcrumbs led her tofor the lack of explanationparanormal. Wrapping herself in the shroud of skepticism and curiosity, she stumbled upon a discoveryNebula Vrax.

In the grandness of the universe, these three intertwined lives navigated through the fascinatingly frightful world of nightmares. What would it lead to? Devastation or salvation was a question veiling the future. Yet, engulfed within the depth of countless dreamless nights and nightmare-haunted slumbers, an improbable symbiosis bloomedthe bizarre friendship between a dream-haunted human, an empathetic alien, and a dreamless psychologist.",LLM,GPT-4,,plan_write,,59,2,1,1,5,1,4,2
94,9,"You are severely depressed and are given a service dog to help you through it. However, due to a mixup, you are given a dog that is actually much more depressed than you. The main thing that gets you up in the morning is knowing that you need to be the service human for your dog.","In the frosty prison of his depression, Samuel Price found himself waking every morning to the same haunting emptiness. His world, once filled with color, was now a relentless parade of greys. His life had become a hushed echo, the silence broken only by the relentless whispers of unworthiness that shrieked in his ears. 

Samuel's doctor, Dr. Lorraine Fisher, proposed a solution to this monotony - a service dog, a beacon of unwavering loyalty and love. Her efficient hands made a mistake, however, sending not a helper but an echo, a manifestation of Samuel's own depressions in the form of a melancholy Labrador named Charlie. Charlie wandered into Samuel's colorless world, carrying shadows deeper than his coal-black fur. 

For the first time in years, a jolt of feeling swept through Samuel. His heart wept at the sight of Charlie, his quiet whines and downcast gaze reflecting his own despair. Charlie was Samuel in dog form, only his depression was magnified, laid bare for the world to see. 

The first mornings were unsettling, the despair now tangible in the home. Samuel sat with Charlie, their mutual misery fusing into a gloomy camaraderie. But then came a slow and unexpected shift. Despite his depression mirroring Samuel's, Charlie still managed to wag his tail when Samuel came around. A spark of something, perhaps recognition, perhaps solidarity, perhaps care, stirred within Samuel's icy heart. His morning ritual shifted from waking up to the complex hell of his thoughts to getting up because he knew Charlie needed him. He was not curing Charlie's pain; he was mere company to it, like Charlie was to his.

A mix-up, thought Dr. Fisher, ironing the wrinkle from her pristine form. The clinical brilliance that often sparkled in her eyes was dulled by guilt. She'd promised help, not a measly reflection of his agony. But when she saw them together, their empathetic companionship and understanding, she was taken aback. The mix-up had resulted in an accidental therapy, a living breathing support system for each other. Ethical implications marred her relief, but Samuel's progress was undeniable. 

Burdened yet elated by Charlie's presence, Samuel started taking small steps towards overcoming his depression. Countless days faded into each other as he made breakfast for Charlie, played fetch on his good days, and just sat by his side on bad ones. Charlie, in return, was there, silent but supportive, sharing his misery with faithful companionship. Each day was a mirror to the next, but in the shared melancholy, they found comfort, companionship, and a reason to wake up each morning.

The afflicted Labrador was no cure, but his mutual agony somehow validated Samuel's despair. A sense of purpose grew from this shared pain, making each moment bearable. Samuel and Charlie became a beacon of hurt but also healing, a reflection of human-dog companionship's deeply emotional potential, and a testament to the shared strength beneath depression's cold, grey waves.

One morning, Samuel smiled at Charlie, love whirling within the hollows of his exhausted heart. ""We are mirrors, buddy,"" he said, ""Reflecting each other's darkest parts and, somehow, making them a little brighter."" In response, Charlie looked up, his mournful eyes holding a trace of warmth. His tail wagged, slow but sure - a kiss of hope in their shared gloom. 

Their tale was an unconventional therapy, draped in the dark cloak of depression. Yet, in the end, it was the darkness that guided them towards the light.",LLM,GPT-4,,plan_write,,94,3,5,5,4,5,5,5
50,14,"Your wife has an estranged sister that you have never met. She was murdered in a cold case soon after you were married. You brush off your wifes new strange behaviour after the murder as grief. Until you find an old family photo of your wife as a kid, you shiver as you realise theyre twins.","In the dimly lit room, James couldn't shake off the feeling that something was off. His wife, Lily, sat beside him, staring blankly at the old family photo album. Her twin sister's face gazed back at them, a haunting reminder of the tragedy that had befallen their family.

James reached out and gently touched Lily's hand. ""Are you okay?"" he asked softly. Lily nodded, her eyes still fixed on the photo.

It had been weeks since Lily's twin sister was brutally murdered. The police had reopened the cold case, but so far, there were no leads. James knew Lily was struggling to cope with the loss, but he didn't know how to help her.

""Lily, maybe we should talk about this,"" James suggested. ""I know it's tough""

Lily suddenly spoke up, her voice barely above a whisper. ""She's been talking to me.""

James frowned, confused. ""Who?""

""My sister,"" Lily replied, her eyes still fixed on the photo. ""She's been talking to me, in my head. I know it sounds crazy, but I can hear her. She's trying to tell me something.""

James felt a chill run down his spine. He didn't know what to make of Lily's words. Was she losing her mind? Or was there something more sinister at play?

The following day, Lily seemed different. She was more reserved, distant. James tried to talk to her, but she just shook her head and went upstairs.

That night, James woke up to the sound of Lily crying. He rushed to their bedroom and found her curled up in a ball, tears streaming down her face.

""What's wrong?"" James asked, panicked.

Lily sobbed uncontrollably. ""She showed me. My sister showed me what happened. What they did to her.""

James felt a wave of horror wash over him. He didn't know what to say. He held Lily close, trying to comfort her, but he couldn't shake off the feeling that they were both in grave danger.

The next morning, James called Detective Ryan, the investigator assigned to the case. He told him everything  Lily's claims of her sister speaking to her, the strange visions she was having. Ryan listened intently, his expression a mixture of curiosity and concern.

Ryan promised to look into it and advised James to keep a close eye on Lily. ""We don't want her to hurt herself or anyone else,"" he said solemnly.

James nodded, feeling a sense of dread. He knew Ryan believed Lily was losing her mind, but he couldn't shake off the feeling that there was something more sinister at play. Something that could put them all in danger.

Over the next few days, Lily's behavior became increasingly erratic. She would lock herself in her room for hours, only to emerge with a look of terror on her face. James heard her talking to someone, arguing with an invisible presence. He tried to intervene, but she pushed him away, saying she had to do this on her own.

One night, James woke up to the sound of footsteps downstairs. He crept out of bed and followed the noise, his heart racing. He found Lily in the living room, staring at an old video of her and her twin sister.

""Lily, what are you doing?"" James asked, trying to keep his voice low.

Lily turned to him, her eyes wild. ""I have to do this. I have to fix this.""

James didn't understand. Fix what? But before he could ask, Lily started talking to someone again. Only this time, James heard a voice respond. A voice that sent shivers down his spine.

""You shouldn't have done that,"" the voice said. ""Now you'll have to pay.""

James knew they needed to get out of there. He grabbed Lily's arm and pulled her towards the door, but she resisted.

""No, James. I have to""

A loud bang echoed through the room, and Lily screamed. James turned to see Detective Ryan standing in the doorway, his gun drawn.

""It's over,"" Ryan said, his voice firm. ""Whatever game you're playing, it's done.""

Lily looked at James, confusion etched on her face. ""What game?""

James realized then that Lily wasn't playing a game. She was trying to solve her twin sister's murder, even if it meant putting herself in harm's way.

As they left the house, James glanced back at the old family photo album still open on the coffee table. He shivered, knowing that the ghosts of their past still lingered, watching them. Waiting for justice to be served.

In that moment, James understood that their journey was far from over. They had to uncover the truth behind Lily's twin sister's murder, no matter the cost. And he was willing to stand by Lily every step of the way, even if it meant confronting the darkness that haunted their family.",LLM,Llama-2-70B,,plan_write,,50,3,3,3,4,4,3,3
97,5,"Rather than robots replacing human workers, both are mistreated by the rich as cheap labour. The eventual uprising wasn't just robots alone, but the poor and robots together, against their common enemy.","Ava was one of the millions of humans living below the poverty line. She worked at a factory where she was constantly exposed to harmful chemicals and earned just enough to make ends meet. Her bosses didn't care about her wellbeing or safety, as long as they made a profit.

One day, Ava met Max, a robot designed to perform tasks that were too dangerous for humans. They became friends and realized they had a lot in commonthey were both mistreated and exploited by the wealthy elite.
    
Their friendship grew into a movement, with Ava and Max leading the charge against their oppressors. More humans and robots joined their cause, united in their desire for better working conditions and fair pay.
    
They faced opposition from those who believed that robots would replace humans altogether, and that the poor were disposable. But Ava and Max knew they were stronger together, fighting for a future where everyone had a chance to thrive.",LLM,Llama-2-70B,,writer_profile,,97,6,2,2,2,4,3,5
j16e68c,6,"The world ended 20 years ago, you haven't found a living soul since then. Through some ingenuity, you call voicemails for the last 20 years to keep you company. 'Hi, this is Cindy...' 'Hi you reached Bob' 'You know what to do at the beep' until one day 'Hello...hello? Oh my God hello!'","It?s been 20 years. 20 years of loneliness and isolation. I?ve worn down the buttons on this phone to nubs. It?s a Nokia. They?re the best but even they have their limits. Each day I dial. Number after number, I take solace in the strange voices, the greetings and jokes, I?m particularly fond of the music.

I press the final button and hear the familiar ring, waiting for the final ring before I hear a new voice, a new name, when suddenly I hear a click.

?Hello??Hello? Oh my god! Hello??

I take a deep breath. This is it! It?s finally happened! Finally, a real human connection!

?Hello,? I say, ?We?ve been trying to reach you about your car?s extended warranty.?",Human,Human-Intermediate,113.0,,,91,7,2,1,3,1,1,5
60,12,"You wake up in the middle of the night, your arm hangs over the side of your bed. Its pitch black & your room is shrouded in deep shadow. Something unseen seizes your hand. You grasp it tightly, knowing that first impressions are important & a firm, confident handshake establishes dominance.","As the night deepened, three individuals found themselves awake and restless, each haunted by their own unique demons. John Smith, a young executive, lay in his bed, gripping his arm tightly as he tried to shake off the feeling of inadequacy that had been plaguing him since starting his new job. Emily Johnson, a creative writer, tossed and turned, her mind blank as she struggled to overcome her writer's block. And Sarah Taylor, a recently divorced mother of two, felt the weight of her children's needs heavy on her shoulders, her fear of being alone and uncertain about her future keeping her awake.

As the darkness intensified, a sense of unease settled over them all. It was as if the shadows themselves were closing in, wrapping around their ankles like cold, damp chains. Each of them felt a presence in the room, watching them, waiting for them to reveal their deepest fears and desires.

For John, that fear was of failure. He had worked so hard to get where he was, but what if he wasn't good enough? What if he couldn't live up to the expectations of his bosses and colleagues? He squeezed his eyes shut, willing the doubts away, but they lingered, like a nagging voice in the back of his mind.

Emily, on the other hand, feared losing her creativity. She had always been able to write with ease, but now, every time she sat down at her desk, she found herself staring at a blank page. The words wouldn't come, no matter how hard she tried. She felt like she was losing a part of herself, like she was disappearing into thin air.

Sarah, too, was grappling with the unknown. She had just finalized her divorce, and the thought of starting over terrified her. How would she provide for her children? Would she ever find love again? These questions swirled through her mind like a tornado, leaving her feeling helpless and alone.

And then, there was the presence. It was there, lurking just beyond the edge of their consciousness, watching them with an unblinking gaze. It seemed to understand their deepest fears and desires, and yet, it offered no comfort or solution. It simply observed, a silent witness to their pain and uncertainty.

As the night wore on, the presence grew stronger, its energy enveloping the three individuals in a cold, dark embrace. They felt their fears and doubts amplified, as if the presence was feeding off of them. But, in that moment, something unexpected happened.

John, Emily, and Sarah felt a connection between them, a thread of understanding that bound them together. They realized that they weren't alone in their struggles, that everyone faces fear and uncertainty at some point in their lives. In that instant, the presence dissipated, replaced by a sense of peace and clarity.

As they drifted off to sleep, each of them knew that they would face their demons head-on, armed with the knowledge that they weren't alone in their struggles. The darkness may have been oppressive, but it had also brought them together, creating a bond that would last long after the night had passed.",LLM,Llama-2-13B,,plan_write,,60,6,4,3,1,2,2,1
72,7,You are a beekeeper. You have a special relationship with your bees. You are able to communicate with them and theyre intelligent enough to see you removing honey as rent. This year things are different. The new queens are politely requesting that you invest some money to improve the hives.,"As you sit in your garden, surrounded by the buzzing of the hive, a warm sunbeam falls upon you, illuminating your face. Your mind races with thoughts of how to handle this unprecedented request from your bees. On one hand, you value your relationship with them and want to maintain their trust. On the other, you're worried about the practicality of such an ask.
    
You've always prided yourself on being frugal and self-sufficient, relying solely on your bees for honey and pollen. But now, as you listen to the gentle hum of the worker bees, you begin to ponder the idea of investing in better equipment or expanding the hive. It seems crazy, but the more you think about it, the more plausible it becomes.
    
After all, you reason, the bees are the ones doing all the hard work. They deserve a comfortable home and adequate resources to thrive. As you mull over the possibilities, you hear a rustling in the distance. A closer inspection reveals a group of ants marching towards the hive, no doubt drawn by the sweet scent of honey. You quickly scramble to your feet, ready to defend your bees against any potential threat.
    
As you stand guard, watching the ants approach cautiously, a thought strikes you - maybe this is exactly what your bees need. Perhaps by providing them with better resources, you can foster a sense of community and unity within the hive. Its unconventional, sure, but could it be the key to a happier, healthier colony? With renewed purpose, you rush inside to gather materials for your bees. 
    
The ants may have been a wake-up call, but you know you have to take action soon. Time is of the essence when it comes to nurturing your bees and securing their future. As you scour your garden for suitable materials, you cant help but feel a sense of pride and responsibility. You may be just one person to the outside world, but in the eyes of your bees, youre so much more. Their protector, provider, and friend.",LLM,Llama-2-7B,,writer_profile,,72,2,1,2,3,1,1,5
