story_id,authenticity_score,emotion_provoking_score,empathy_score,engagement_score,narrative_complexity_score,human_likeness_score
0,4.0,3.0,3.0,4.0,3.0,4.0
1,4.5,4.0,4.0,4.5,4.0,5.0
2,4.0,3.0,4.0,3.0,3.0,3.0
3,4.5,4.0,4.0,3.5,4.0,4.5
4,4.0,3.0,4.0,3.0,4.0,5.0
5,4.0,3.0,4.0,3.0,2.0,4.0
6,4.0,3.0,3.0,4.0,3.0,4.0
7,4.0,3.0,3.0,4.0,3.0,4.0
8,5.0,4.0,5.0,5.0,5.0,5.0
9,4.0,3.0,3.0,4.0,2.0,3.0
10,4.0,5.0,4.0,4.0,4.0,4.0
11,2.0,3.0,2.0,3.0,2.0,2.0
12,4.0,3.0,4.0,4.0,4.0,4.0
13,4.0,3.0,4.0,3.0,3.0,3.0
14,4.0,3.0,4.0,4.0,4.0,4.0
15,4.0,2.0,3.0,1.0,2.0,1.0
16,4.0,3.0,3.0,4.0,3.0,4.0
17,4.0,3.0,4.0,3.0,3.0,4.0
18,4.0,3.0,4.0,4.0,4.0,4.0
19,4.0,3.0,3.0,3.0,3.0,4.0
20,4.0,3.0,3.0,3.0,2.0,5.0
21,4.0,2.0,3.0,3.0,2.0,2.0
22,3.0,2.0,2.0,3.0,2.0,2.0
23,4.0,3.0,3.0,3.0,2.0,4.0
24,3.0,2.0,3.0,3.0,2.0,2.0
25,4.0,3.0,3.0,3.0,2.0,4.0
26,4.0,2.0,3.0,2.0,2.0,3.0
27,3.0,2.0,2.0,2.0,2.0,2.0
28,4.0,3.0,3.0,3.0,2.0,2.0
29,4.0,3.0,3.0,4.0,2.0,5.0
30,3.0,2.0,2.0,3.0,3.0,2.0
31,3.5,4.0,3.0,4.0,3.5,3.0
32,3.5,3.0,2.5,3.5,3.0,3.0
33,4.0,3.0,3.0,4.0,5.0,2.0
34,4.0,3.0,3.0,4.0,3.0,2.0
35,4.0,2.0,1.0,1.0,5.0,1.0
36,3.5,3.0,3.0,4.0,3.0,3.0
37,4.0,3.0,2.0,3.0,4.0,2.0
38,2.0,3.0,2.0,3.0,3.0,2.0
39,4.0,2.0,3.0,1.0,5.0,1.0
40,4.0,3.5,4.0,4.0,3.0,4.0
41,4.0,3.0,3.0,4.0,4.0,3.0
42,3.5,4.0,4.0,4.0,3.0,4.0
43,4.0,2.0,2.0,3.0,3.0,2.0
44,4.0,2.0,3.0,1.0,2.0,1.0
45,4.0,3.0,4.0,4.0,3.0,4.0
46,4.0,3.0,4.0,4.0,2.0,4.0
47,3.0,3.0,3.0,4.0,2.0,4.0
48,4.0,3.0,3.0,4.0,3.0,4.0
49,4.0,2.0,3.0,4.0,3.0,3.0
50,4.0,3.0,4.0,3.0,3.0,4.0
51,4.0,2.0,3.0,4.0,3.0,4.0
52,4.0,3.0,3.0,3.0,5.0,2.0
53,4.0,3.5,4.0,4.0,3.5,3.0
54,4.0,3.0,3.0,4.0,3.0,5.0
55,4.0,3.0,4.0,4.0,3.0,4.0
56,4.0,3.0,3.0,4.0,3.0,2.0
57,4.0,3.5,4.0,4.0,4.0,4.0
58,4.0,3.0,4.0,3.0,4.0,3.0
59,4.0,3.0,3.0,3.0,3.0,4.0
60,5.0,5.0,5.0,5.0,4.0,5.0
61,4.0,4.0,4.0,4.0,3.0,4.0
62,4.0,3.0,4.0,5.0,3.0,5.0
63,4.5,4.5,4.5,4.5,4.0,5.0
64,4.0,3.0,3.0,4.0,3.0,5.0
65,4.5,4.5,4.5,4.5,3.5,5.0
66,4.0,4.0,4.0,4.0,3.0,4.0
67,4.0,4.0,4.0,4.0,3.0,4.0
68,4.0,4.0,4.0,4.0,3.0,4.0
69,4.5,4.5,4.5,4.5,3.5,4.5
70,2.5,2.5,3.0,3.0,3.5,2.0
71,3.0,2.0,2.5,3.0,2.5,4.0
72,4.0,3.0,4.0,4.0,4.0,5.0
73,4.0,3.0,4.0,4.0,4.0,5.0
74,4.0,2.0,3.0,4.0,3.0,4.0
75,4.0,2.0,3.0,4.0,2.0,3.0
76,4.5,4.0,4.0,4.5,3.5,5.0
77,4.0,3.0,3.0,4.0,3.0,5.0
78,4.0,3.0,4.0,4.0,3.0,4.0
79,4.0,2.0,3.0,3.0,3.0,2.0
80,3.5,3.0,3.0,2.5,2.5,2.5
81,3.0,2.0,3.0,2.0,3.0,2.0
82,4.0,3.0,3.0,4.0,3.0,5.0
83,4.0,3.0,4.0,4.0,3.0,5.0
84,4.0,2.0,3.0,4.0,3.0,4.0
85,4.0,3.0,3.0,3.0,2.0,4.0
86,4.0,3.0,4.0,4.0,3.0,5.0
87,3.5,3.5,3.5,4.0,3.0,4.0
88,2.5,3.0,2.5,3.0,2.5,2.0
89,4.0,2.0,3.0,2.0,1.0,2.0
90,4.5,4.0,4.0,4.0,3.0,5.0
91,4.0,3.0,4.0,4.0,4.0,5.0
92,4.0,3.0,4.0,4.0,3.0,4.0
93,4.0,3.0,4.0,4.0,3.0,5.0
94,5.0,5.0,5.0,5.0,5.0,5.0
95,4.0,4.0,4.0,4.0,3.0,5.0
96,4.5,4.5,4.5,4.5,4.0,4.5
97,4.5,4.5,4.5,4.5,4.0,5.0
98,4.0,3.0,4.0,4.0,3.0,4.0
99,5.0,5.0,5.0,5.0,4.0,5.0
100,4.0,3.0,4.0,4.0,3.0,4.0
101,4.0,3.0,3.0,4.0,3.0,4.0
102,3.0,3.0,4.0,3.0,2.0,4.0
103,4.0,2.0,3.0,2.0,2.0,4.0
104,4.0,2.0,3.0,4.0,3.0,2.0
105,3.0,3.0,3.0,3.0,2.0,2.0
106,4.5,4.0,4.0,4.5,4.0,4.5
107,3.0,2.0,2.0,4.0,3.0,2.0
108,3.0,2.0,2.0,3.0,3.0,4.0
109,3.0,3.0,2.0,3.0,2.0,2.0
110,4.0,3.0,4.0,4.0,3.0,4.0
111,4.0,2.0,3.0,1.0,2.0,1.0
112,4.0,3.0,4.0,4.0,3.0,4.0
113,4.0,3.0,3.0,4.0,2.0,2.0
114,4.0,2.0,3.0,1.0,2.0,1.0
115,4.0,3.0,3.0,2.0,2.0,4.0
116,4.0,2.0,3.0,1.0,2.0,1.0
117,4.0,3.0,3.0,4.0,3.0,4.0
118,4.0,2.0,3.0,1.0,2.0,1.0
119,4.0,3.0,3.0,3.0,2.0,4.0
120,4.0,3.0,3.0,4.0,3.0,4.0
121,4.0,3.0,3.0,4.0,2.0,5.0
122,4.0,4.0,4.0,4.0,3.0,4.0
123,4.5,4.5,4.5,4.5,4.5,5.0
124,4.0,3.0,3.0,4.0,3.0,4.0
125,4.0,3.0,3.0,4.0,3.0,5.0
126,3.0,3.0,2.5,3.0,2.5,3.0
127,4.0,4.0,3.0,4.0,3.0,4.0
128,4.0,3.0,3.0,4.0,2.0,5.0
129,4.0,3.0,3.0,4.0,2.0,4.0
130,4.5,4.5,4.5,4.5,4.5,5.0
131,4.0,3.0,3.0,4.0,3.0,5.0
132,4.0,3.0,3.0,4.0,3.0,5.0
133,4.0,3.0,4.0,4.0,3.0,4.0
134,4.0,3.0,3.0,4.0,2.0,4.0
135,4.0,3.0,3.0,3.0,2.0,3.0
136,4.0,3.0,3.0,4.0,3.0,5.0
137,4.0,3.0,3.0,3.0,2.0,4.0
138,4.5,4.0,4.0,3.5,3.0,4.5
139,4.2,4.5,4.0,4.0,4.0,4.5
140,4.5,4.0,4.0,4.0,4.0,4.5
141,4.0,3.0,3.0,4.0,3.0,4.0
142,4.0,3.0,3.0,4.0,3.0,4.0
143,4.0,3.0,3.0,4.0,3.0,4.0
144,4.0,3.0,4.0,4.0,4.0,5.0
145,4.0,4.0,4.0,5.0,4.0,4.0
146,4.0,3.0,3.0,4.0,3.0,4.0
147,4.0,4.0,4.0,4.0,4.0,4.0
148,4.0,2.0,3.0,1.0,2.0,1.0
149,4.0,3.0,3.0,4.0,4.0,4.0
150,4.0,3.0,4.0,3.0,3.0,4.0
151,4.0,3.0,4.0,3.0,4.0,5.0
152,4.0,3.0,4.0,4.0,3.0,5.0
153,4.0,4.0,4.0,4.0,4.0,4.0
154,4.5,4.5,4.5,4.0,4.0,4.5
155,4.0,3.0,4.0,3.0,2.0,2.0
156,4.0,3.0,4.0,3.0,4.0,2.0
157,4.0,4.0,4.0,4.0,3.0,4.0
158,4.0,5.0,4.0,4.0,4.0,5.0
159,4.0,3.0,4.0,3.0,3.0,3.0
160,4.0,3.0,4.0,3.0,3.0,4.0
161,4.5,4.0,4.0,4.0,4.5,5.0
162,4.0,3.0,3.0,3.0,3.0,4.0
163,4.0,3.0,3.0,4.0,4.0,3.0
164,4.0,3.0,3.0,3.0,2.0,2.0
165,4.0,3.0,3.0,4.0,3.0,4.0
166,4.0,3.0,3.0,4.0,3.0,4.0
167,4.5,4.0,4.0,4.0,4.5,4.5
168,4.0,3.0,3.0,4.0,3.0,4.0
169,4.0,3.0,3.0,3.0,3.0,4.0
170,4.0,4.0,4.0,4.0,5.0,4.0
171,4.5,4.0,4.5,4.0,4.0,4.5
172,4.0,5.0,4.0,4.0,5.0,5.0
173,4.5,4.0,4.5,4.0,4.5,4.5
174,4.0,3.0,3.0,4.0,5.0,2.0
175,4.0,3.0,3.0,4.0,5.0,2.0
176,4.5,4.0,4.0,4.0,5.0,5.0
177,4.5,4.5,4.5,4.5,5.0,5.0
178,4.0,5.0,5.0,4.0,5.0,5.0
179,4.0,3.0,3.0,4.0,5.0,4.0
180,3.0,3.0,3.0,4.0,3.0,3.0
181,3.5,3.0,3.0,4.0,3.0,3.0
182,4.0,3.0,4.0,4.0,3.0,4.0
183,4.0,2.0,3.0,1.0,2.0,1.0
184,4.0,2.0,3.0,4.0,2.0,2.0
185,4.0,3.0,3.0,4.0,3.0,4.0
186,4.0,3.0,3.0,4.0,4.0,4.0
187,3.5,4.0,3.5,4.0,3.5,4.0
188,4.0,3.0,3.0,4.0,3.0,4.0
189,4.0,3.0,3.0,4.0,3.0,5.0
190,4.0,3.0,3.0,4.0,4.0,5.0
191,4.0,3.0,3.0,4.0,4.0,4.0
192,4.2,4.0,4.1,4.3,3.8,4.4
193,4.0,3.0,3.0,4.0,3.0,4.0
194,4.0,4.0,3.0,4.0,3.0,4.0
195,3.5,4.5,4.0,4.5,3.5,3.0
196,4.0,4.0,4.0,5.0,4.0,5.0
197,4.0,3.0,3.0,3.0,3.0,4.0
198,4.0,3.0,3.0,4.0,3.0,4.0
199,4.5,4.5,4.0,4.0,4.0,5.0
