story_id,persona,authenticity_score,emotion_provoking_score,empathy_score,engagement_score,narrative_complexity_score,human_likeness_score,persona_id,time_taken,average
0,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you specialize in evaluating the genuineness and believability of characters, dialogue, and scenarios in stories.",2.0,3.0,3.0,3.0,2.0,2.0,0.0,5.043045282363892,
0,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you focus on identifying and assessing moments in the narrative that effectively evoke empathetic connections with the characters.",2.0,4.0,4.0,4.0,3.0,3.0,1.0,3.9389989376068115,
0,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you evaluate how well a story captures and maintains the reader's interest through pacing, suspense, and narrative flow.",2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.722449541091919,
0,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you examine the text for its ability to provoke a wide range of intense emotional responses in the reader.",2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.793078660964966,
0,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you analyze the structural and thematic intricacy of the plot, character development, and the use of literary devices.",2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.921231508255005,
0,Average across personas,2.0,3.4,3.2,3.4,2.4,2.6,,,True
1,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you specialize in evaluating the genuineness and believability of characters, dialogue, and scenarios in stories.",4.0,5.0,4.0,5.0,4.0,5.0,0.0,4.7671685218811035,
1,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you focus on identifying and assessing moments in the narrative that effectively evoke empathetic connections with the characters.",4.0,5.0,5.0,5.0,4.0,5.0,1.0,4.740121126174927,
1,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you evaluate how well a story captures and maintains the reader's interest through pacing, suspense, and narrative flow.",4.0,5.0,4.0,5.0,4.0,5.0,2.0,4.817335367202759,
1,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you examine the text for its ability to provoke a wide range of intense emotional responses in the reader.",4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.85086464881897,
