story_id,authenticity_score,emotion_provoking_score,empathy_score,engagement_score,narrative_complexity_score,human_likeness_score
0,4.0,3.0,3.0,4.0,4.0,4.0
1,4.0,3.0,4.0,4.0,3.0,5.0
2,4.5,4.5,4.5,4.5,4.5,4.5
3,4.5,4.5,4.5,4.0,4.0,5.0
4,4.0,3.0,3.0,3.0,2.0,4.0
5,4.5,5.0,4.0,4.0,4.0,4.0
6,4.0,3.0,3.0,4.0,3.0,4.0
7,4.0,3.0,3.0,4.0,2.0,4.0
8,4.0,3.0,4.0,4.0,3.0,5.0
9,4.0,3.0,4.0,4.0,3.0,3.0
10,3.0,4.0,3.0,4.0,3.0,4.0
11,4.0,3.0,3.0,4.0,2.0,3.0
12,4.0,3.0,4.0,3.0,4.0,3.0
13,4.0,3.0,4.0,4.0,3.0,5.0
14,4.0,3.0,3.0,4.0,3.0,2.0
15,4.0,3.0,4.0,4.0,4.0,3.0
16,4.0,4.0,4.0,4.0,5.0,3.0
17,4.0,2.0,3.0,1.0,2.0,1.0
18,2.5,3.0,2.5,3.0,2.5,2.0
19,4.0,3.0,4.0,3.0,3.0,2.0
20,3.5,3.0,3.5,3.0,2.5,4.0
21,4.0,3.0,3.0,3.0,2.0,4.0
22,2.5,2.5,3.0,3.0,2.5,2.0
23,4.0,3.0,3.0,4.0,3.0,2.0
24,4.0,3.0,3.0,3.0,2.0,3.0
25,2.5,2.5,2.5,2.5,2.5,2.5
26,4.0,3.0,4.0,3.0,3.0,4.0
27,4.0,3.0,4.0,3.0,3.0,4.0
28,2.0,3.0,4.0,3.0,2.0,4.0
29,4.0,3.0,3.0,3.0,2.0,3.0
30,2.0,3.0,2.0,4.0,2.0,1.0
31,2.5,3.0,2.5,3.0,3.0,2.5
32,2.0,3.0,2.0,3.0,4.0,2.0
33,3.5,3.0,2.5,3.5,4.0,2.0
34,3.5,3.0,2.5,4.0,3.0,2.5
35,3.5,3.0,3.0,3.5,3.0,3.0
36,3.0,2.5,2.0,3.0,3.0,2.0
37,4.0,3.5,3.0,3.5,4.0,4.0
38,3.0,4.0,3.0,4.0,4.0,2.0
39,3.5,3.0,2.5,3.0,2.5,3.0
40,2.5,2.5,2.5,4.0,2.5,2.5
41,4.0,3.0,3.0,4.0,2.0,3.0
42,3.5,3.0,2.5,4.0,2.5,2.5
43,2.0,3.0,2.0,3.0,2.0,2.0
44,3.0,4.0,4.0,3.0,2.0,4.0
45,2.0,3.0,2.0,4.0,2.0,2.0
46,4.0,3.0,4.0,4.0,3.0,5.0
47,3.5,3.0,2.5,4.0,3.0,2.5
48,3.5,3.5,3.0,4.0,2.5,3.5
49,4.0,5.0,4.0,5.0,3.0,4.0
50,4.5,4.0,4.0,4.0,3.0,3.0
51,4.0,3.0,3.0,3.0,3.0,3.0
52,4.0,3.0,3.0,4.0,3.0,5.0
53,4.0,3.0,3.0,4.0,3.0,2.0
54,4.0,4.0,4.0,4.0,3.0,3.0
55,3.0,2.0,2.0,2.0,2.0,2.0
56,4.0,3.0,3.0,2.0,2.0,2.0
57,4.0,3.0,3.0,4.0,3.0,4.0
58,4.0,3.0,4.0,4.0,3.0,4.0
59,4.0,3.0,3.0,4.0,3.0,4.0
60,4.2,4.5,4.0,4.3,3.8,4.1
61,4.0,3.0,4.0,4.0,3.0,4.0
62,4.0,4.0,4.0,4.0,3.0,5.0
63,4.0,4.0,4.0,4.0,3.0,4.0
64,4.5,4.0,4.0,4.5,3.5,4.5
65,4.0,3.0,3.0,3.0,2.0,2.0
66,4.0,5.0,4.0,4.0,3.0,5.0
67,4.0,3.0,4.0,4.0,2.0,5.0
68,5.0,5.0,5.0,5.0,4.0,5.0
69,4.0,4.0,4.0,4.0,3.0,4.0
70,3.0,3.0,3.0,4.0,2.0,2.0
71,4.0,3.0,3.0,4.0,2.0,3.0
72,2.5,2.0,3.0,2.5,2.0,2.5
73,4.0,2.0,3.0,3.0,2.0,4.0
74,3.5,3.0,3.5,3.5,2.5,2.0
75,2.5,3.0,3.5,4.0,3.0,2.5
76,3.5,2.5,3.0,3.0,2.5,2.0
77,3.5,3.5,3.5,3.5,3.5,3.5
78,3.5,3.0,3.0,3.0,2.5,5.0
79,3.0,2.0,3.0,3.0,2.0,2.0
80,4.0,3.0,3.0,4.0,3.0,2.0
81,4.0,3.0,3.0,4.0,2.0,3.0
82,4.0,3.0,3.0,4.0,2.0,4.0
83,4.0,2.0,3.0,2.0,2.0,4.0
84,4.0,2.0,3.0,1.0,2.0,1.0
85,3.5,3.0,3.5,3.0,3.0,3.5
86,3.5,3.0,2.5,3.5,4.0,4.0
87,4.0,2.0,3.0,2.0,2.0,3.0
88,3.0,2.5,2.5,2.5,2.0,2.0
89,4.0,2.0,3.0,3.0,3.0,5.0
90,4.0,3.0,4.0,3.0,2.0,4.0
91,4.5,4.0,4.5,4.0,3.5,4.5
92,4.0,3.0,4.0,4.0,4.0,5.0
93,4.0,3.0,3.0,3.0,2.0,4.0
94,4.0,3.0,4.0,3.0,2.0,4.0
95,4.0,3.0,3.0,4.0,2.0,4.0
96,4.0,3.0,3.0,3.0,2.0,4.0
97,5.0,4.0,4.0,4.0,3.0,5.0
98,5.0,4.0,5.0,4.0,3.0,5.0
99,4.0,3.0,4.0,3.0,2.0,4.0
100,3.0,3.0,3.0,4.0,2.0,2.0
101,3.0,3.0,2.0,3.0,2.0,2.0
102,4.0,3.0,3.0,4.0,4.0,5.0
103,3.0,3.0,2.0,3.0,3.0,2.0
104,3.0,3.0,2.0,3.0,2.0,3.0
105,4.0,3.0,4.0,4.0,3.0,3.0
106,3.0,2.0,2.0,3.0,3.0,2.0
107,3.0,3.0,2.0,3.0,4.0,3.0
108,3.0,3.0,3.0,3.0,2.0,3.0
109,4.0,3.0,3.0,4.0,3.0,4.0
110,4.0,2.0,3.0,4.0,3.0,4.0
111,2.0,3.0,2.0,3.0,2.0,2.0
112,4.0,3.0,3.0,3.0,2.0,3.0
113,4.0,4.0,3.0,4.0,3.0,4.0
114,3.5,4.0,4.0,4.0,3.0,3.5
115,3.0,2.5,2.5,3.0,2.5,2.5
116,4.0,3.0,3.0,3.0,2.0,4.0
117,4.0,3.0,3.0,4.0,3.0,4.0
118,4.0,3.0,3.0,4.0,3.0,3.0
119,4.0,2.0,3.0,3.0,2.0,3.0
120,2.0,3.0,2.0,4.0,3.0,2.0
121,4.0,3.0,3.0,4.0,2.0,4.0
122,3.0,3.0,2.0,4.0,3.0,2.0
123,3.5,4.0,3.0,4.5,3.0,3.5
