story_id,authenticity_score,emotion_provoking_score,empathy_score,engagement_score,narrative_complexity_score,human_likeness_score
0,4.0,3.0,4.0,4.0,3.0,5.0
1,4.5,4.5,4.5,4.5,4.5,4.5
2,4.5,4.0,4.0,4.5,4.0,4.5
3,4.0,3.0,4.0,4.0,4.0,4.0
4,4.0,3.0,3.0,3.0,3.0,4.0
5,4.0,3.0,3.0,4.0,4.0,5.0
6,4.0,3.0,3.0,4.0,3.0,4.0
7,4.0,3.0,4.0,4.0,3.0,4.0
8,4.0,3.0,4.0,3.0,3.0,4.0
9,4.5,4.0,4.0,4.5,3.5,4.0
10,4.0,4.0,4.0,4.0,5.0,4.0
11,4.0,3.0,4.0,3.0,4.0,5.0
12,4.0,3.0,3.0,4.0,4.0,5.0
13,4.0,3.0,3.0,4.0,4.0,4.0
14,2.0,3.0,2.0,2.0,2.0,1.0
15,4.0,4.0,4.0,4.0,4.0,4.0
16,4.0,3.0,4.0,3.0,4.0,2.0
17,4.0,3.0,4.0,4.0,5.0,3.0
18,4.0,4.0,4.0,4.0,4.0,4.0
19,4.0,3.0,4.0,3.0,4.0,3.0
20,3.5,4.0,4.0,4.5,3.0,4.5
21,4.0,3.0,3.0,4.0,3.0,5.0
22,3.5,3.0,3.0,3.5,2.5,3.0
23,3.5,3.0,3.5,3.0,2.5,4.0
24,4.5,4.0,3.5,3.0,2.5,4.5
25,3.5,3.0,3.5,4.0,3.5,3.0
26,4.0,3.0,3.0,4.0,2.0,5.0
27,3.5,3.0,3.0,3.5,3.0,4.0
28,3.5,3.5,3.5,3.5,3.5,3.5
29,4.0,2.0,2.0,3.0,2.0,2.0
30,4.0,3.0,3.0,4.0,5.0,5.0
31,2.0,2.0,2.0,2.0,4.0,1.0
32,2.0,3.0,2.0,2.0,3.0,2.0
33,2.0,2.0,2.0,3.0,4.0,1.0
34,4.0,3.0,3.0,4.0,3.0,4.0
35,2.0,3.0,2.0,3.0,4.0,2.0
36,4.0,2.0,3.0,1.0,2.0,1.0
37,3.5,3.0,2.5,4.0,4.5,2.0
38,4.0,2.0,3.0,4.0,5.0,1.0
39,3.0,2.5,2.0,3.0,4.0,2.5
40,3.0,3.0,3.0,4.0,2.0,2.0
41,4.0,3.0,3.0,3.0,2.0,2.0
42,4.0,3.0,4.0,4.0,2.0,4.0
43,3.5,4.0,3.5,3.5,3.0,4.0
44,3.0,3.0,2.5,3.5,2.5,3.0
45,4.0,2.0,2.0,3.0,2.0,3.0
46,4.0,3.0,3.0,4.0,3.0,4.0
47,3.0,2.0,2.0,3.0,2.0,3.0
48,4.0,3.0,3.0,4.0,3.0,4.0
49,4.0,3.0,3.0,4.0,2.0,4.0
50,4.0,3.0,3.0,3.0,3.0,4.0
51,4.0,2.0,3.0,1.0,2.0,1.0
52,4.0,3.0,3.0,3.0,3.0,4.0
53,4.0,3.0,4.0,4.0,4.0,3.0
54,4.0,3.0,3.0,4.0,4.0,3.0
55,4.0,3.0,4.0,4.0,4.0,3.0
56,4.0,3.0,3.0,4.0,3.0,4.0
57,3.5,3.0,3.5,4.0,3.0,3.0
58,4.0,3.0,3.0,3.0,4.0,5.0
59,4.0,2.0,3.0,3.0,4.0,3.0
60,4.0,3.0,4.0,3.0,2.0,5.0
61,4.0,3.0,3.0,4.0,2.0,4.0
62,5.0,5.0,4.0,5.0,3.0,5.0
63,5.0,5.0,5.0,5.0,3.0,5.0
64,4.5,4.0,4.0,4.0,3.0,5.0
65,4.5,4.5,4.5,4.5,3.5,4.5
66,4.0,3.0,3.0,4.0,2.0,4.0
67,5.0,5.0,5.0,5.0,4.0,5.0
68,5.0,5.0,5.0,5.0,4.0,5.0
69,4.5,4.5,4.5,4.5,4.0,5.0
70,4.0,2.0,3.0,3.0,3.0,2.0
71,4.0,3.0,3.0,4.0,4.0,2.0
72,3.0,3.0,4.0,3.0,3.0,2.0
73,5.0,4.0,5.0,5.0,5.0,5.0
74,4.0,3.0,4.0,4.0,3.0,4.0
75,2.5,2.0,2.5,3.0,2.5,2.0
76,3.5,3.0,3.0,4.0,3.5,3.0
77,2.0,2.0,2.0,3.0,2.0,2.0
78,4.0,3.0,3.0,4.0,2.0,5.0
79,4.0,3.0,4.0,4.0,2.0,5.0
80,4.0,3.0,4.0,4.0,3.0,5.0
81,4.0,3.0,3.0,3.0,2.0,4.0
82,4.0,2.0,3.0,3.0,2.0,4.0
83,4.0,3.0,4.0,3.0,3.0,5.0
84,4.0,3.0,3.0,3.0,2.0,4.0
85,4.0,3.0,4.0,3.0,2.0,5.0
86,3.5,3.0,3.5,3.0,2.5,3.0
87,4.0,3.0,3.0,3.0,2.0,3.0
88,3.0,2.5,2.5,2.5,2.5,2.5
89,3.5,3.0,3.5,3.0,3.0,4.5
90,4.5,4.0,4.0,4.0,3.0,5.0
91,5.0,5.0,5.0,4.0,3.0,5.0
92,4.5,4.0,4.5,4.0,3.5,4.5
93,4.0,3.0,4.0,4.0,3.0,4.0
94,4.0,3.0,3.0,4.0,2.0,5.0
95,5.0,5.0,5.0,5.0,3.0,5.0
96,4.0,3.0,3.0,3.0,2.0,4.0
97,4.0,3.0,3.0,4.0,3.0,5.0
