story_id,persona,authenticity_score,emotion_provoking_score,empathy_score,engagement_score,narrative_complexity_score,human_likeness_score,persona_id,time_taken,average
0,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you specialize in evaluating the genuineness and believability of characters, dialogue, and scenarios in stories.",5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.3352885246276855,
0,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you focus on identifying and assessing moments in the narrative that effectively evoke empathetic connections with the characters.",5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.604727745056152,
0,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you evaluate how well a story captures and maintains the reader's interest through pacing, suspense, and narrative flow.",5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.511108875274658,
0,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you examine the text for its ability to provoke a wide range of intense emotional responses in the reader.",5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.385458707809448,
0,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you analyze the structural and thematic intricacy of the plot, character development, and the use of literary devices.",5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.501749038696289,
0,Average across personas,5.0,5.0,5.0,5.0,5.0,5.0,,,True
1,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you specialize in evaluating the genuineness and believability of characters, dialogue, and scenarios in stories.",5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.603023290634155,
1,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you focus on identifying and assessing moments in the narrative that effectively evoke empathetic connections with the characters.",5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.498902320861816,
1,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you evaluate how well a story captures and maintains the reader's interest through pacing, suspense, and narrative flow.",5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.2521398067474365,
1,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you examine the text for its ability to provoke a wide range of intense emotional responses in the reader.",5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.3235063552856445,
1,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you analyze the structural and thematic intricacy of the plot, character development, and the use of literary devices.",5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.347766399383545,
1,Average across personas,5.0,5.0,5.0,5.0,5.0,5.0,,,True
2,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you specialize in evaluating the genuineness and believability of characters, dialogue, and scenarios in stories.",5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.433955430984497,
2,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you focus on identifying and assessing moments in the narrative that effectively evoke empathetic connections with the characters.",4.0,4.0,5.0,5.0,4.0,4.0,1.0,4.427866220474243,
2,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you evaluate how well a story captures and maintains the reader's interest through pacing, suspense, and narrative flow.",4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.547269105911255,
2,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you examine the text for its ability to provoke a wide range of intense emotional responses in the reader.",4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.668207168579102,
2,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you analyze the structural and thematic intricacy of the plot, character development, and the use of literary devices.",5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.519498348236084,
2,Average across personas,4.4,4.6,4.6,5.0,4.4,4.4,,,True
3,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you specialize in evaluating the genuineness and believability of characters, dialogue, and scenarios in stories.",4.0,4.0,4.0,4.0,3.0,4.0,0.0,4.550633907318115,
3,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you focus on identifying and assessing moments in the narrative that effectively evoke empathetic connections with the characters.",4.0,4.0,4.0,4.0,3.0,4.0,1.0,4.493261337280273,
3,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you evaluate how well a story captures and maintains the reader's interest through pacing, suspense, and narrative flow.",4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.424542665481567,
3,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you examine the text for its ability to provoke a wide range of intense emotional responses in the reader.",4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.511897563934326,
3,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you analyze the structural and thematic intricacy of the plot, character development, and the use of literary devices.",4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.630122423171997,
3,Average across personas,4.0,4.0,4.0,4.0,3.0,4.0,,,True
4,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you specialize in evaluating the genuineness and believability of characters, dialogue, and scenarios in stories.",4.0,5.0,4.0,5.0,4.0,5.0,0.0,4.446100234985352,
4,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you focus on identifying and assessing moments in the narrative that effectively evoke empathetic connections with the characters.",4.0,4.0,4.0,4.0,3.0,5.0,1.0,4.29768967628479,
4,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you evaluate how well a story captures and maintains the reader's interest through pacing, suspense, and narrative flow.",4.0,4.0,4.0,5.0,3.0,5.0,2.0,4.28059458732605,
4,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you examine the text for its ability to provoke a wide range of intense emotional responses in the reader.",4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.382510423660278,
4,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you analyze the structural and thematic intricacy of the plot, character development, and the use of literary devices.",4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.230535507202148,
4,Average across personas,4.0,4.6,4.0,4.8,3.6,4.8,,,True
5,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you specialize in evaluating the genuineness and believability of characters, dialogue, and scenarios in stories.",5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.185503244400024,
5,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you focus on identifying and assessing moments in the narrative that effectively evoke empathetic connections with the characters.",5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.593470573425293,
5,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you evaluate how well a story captures and maintains the reader's interest through pacing, suspense, and narrative flow.",5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.653748273849487,
5,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you examine the text for its ability to provoke a wide range of intense emotional responses in the reader.",5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.691986560821533,
5,"You are a helpful AI who specializes in evaluating the psychological depth present in stories. In particular, you analyze the structural and thematic intricacy of the plot, character development, and the use of literary devices.",5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.600375413894653,
5,Average across personas,5.0,5.0,5.0,5.0,5.0,5.0,,,True
